freq,sex,wstatus,unit,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,M,TOTAL,PC_POP,CZ	9.82 	8.49 	8.39 	9.43 
A,M,TOTAL,PC_POP,DE	15.69 	15.88 	15.93 	16.39 
A,M,TOTAL,PC_POP,DK	10.50 	9.90 	10.48 b	11.45 
A,M,TOTAL,PC_POP,EE	13.77 	14.76 	13.54 	13.07 
A,M,TOTAL,PC_POP,EL	11.17 	9.70 	10.30 	9.89 
A,M,TOTAL,PC_POP,ES	14.65 d	14.68 d	14.89 d	14.43 d
A,M,TOTAL,PC_POP,FI	14.99 	15.46 	16.20 	15.92 
A,M,TOTAL,PC_POP,FR	13.34 d	13.00 d	13.59 d	13.56 d
A,M,TOTAL,PC_POP,HR	7.90 	7.43 	8.00 	8.79 
A,M,TOTAL,PC_POP,HU	9.60 	9.42 	9.09 	9.34 
A,M,TOTAL,PC_POP,IE	13.13 	14.49 	16.07 	17.67 
A,M,TOTAL,PC_POP,IT	4.87 	4.93 	5.42 	5.62 
A,M,TOTAL,PC_POP,LT	15.95 	16.35 	16.08 	15.87 
A,M,TOTAL,PC_POP,LU	13.54 	13.90 	14.25 	14.88 
A,M,TOTAL,PC_POP,LV	10.10 	10.01 	11.36 	10.76 
A,M,TOTAL,PC_POP,MT	8.84 	8.64 	9.08 	9.12 
A,M,TOTAL,PC_POP,NL	11.31 	11.56 	11.04 	11.61 
A,M,TOTAL,PC_POP,PL	9.18 	9.37 	10.41 	11.06 
A,M,TOTAL,PC_POP,PT	7.04 	7.48 	7.95 	8.76 
A,M,TOTAL,PC_POP,RO	6.20 	6.66 	6.26 	6.61 
A,M,TOTAL,PC_POP,SE	14.09 	14.69 	15.05 	15.28 
A,M,TOTAL,PC_POP,SI	13.17 	12.57 	9.63 b	9.76 
A,M,TOTAL,PC_POP,SK	9.31 	9.47 	9.65 	9.51 
A,M,TOTAL,THS_PER,AT	546.4 	572.7 	581.8 	578.5 
A,M,TOTAL,THS_PER,BE	506.5 	517.8 	531.1 	514.4 
A,M,TOTAL,THS_PER,BG	211.2 	211.0 	217.5 	222.9 b
A,M,TOTAL,THS_PER,CY	42.1 	44.6 	49.4 	46.5 
A,M,TOTAL,THS_PER,CZ	398.3 	336.8 	329.0 	370.0 
A,M,TOTAL,THS_PER,DE	4812.7 	4917.5 	4979.7 	5151.0 
A,M,TOTAL,THS_PER,DK	228.6 	216.5 	230.6 b	252.9 
A,M,TOTAL,THS_PER,EE	65.3 	70.4 	65.9 	64.3 
A,M,TOTAL,THS_PER,EL	430.9 	373.2 	395.4 	378.5 
